provider_id,provider_name,specialty,provider_type,state,npi_flag_suspicious
PRV20344,"Harper, Smith and Buchanan Clinic",Anesthesiology,Physician Group,GA,False
PRV20345,Zhang PLC Medical Group,Radiology,Physician Group,FL,False
PRV20346,Jones PLC Medical Group,Neurology,Physician Group,MA,False
PRV20347,Willis and Sons Medical Group,Family Practice,Outpatient Facility,MA,False
PRV20348,Schroeder-Kramer Medical Group,Cardiology,Individual Practitioner,NY,False
PRV20349,"Smith, Garrison and Thomas Medical Group",Psychiatry,Individual Practitioner,FL,False
PRV20350,Fernandez and Sons Clinic,General Surgery,Individual Practitioner,GA,False
PRV20351,Guerrero Inc Clinic,Family Practice,Physician Group,FL,False
PRV20352,Smith and Sons Medical Group,Psychiatry,Hospital,GA,False
PRV20353,"Morris, Thompson and Williams Clinic",Psychiatry,Individual Practitioner,MA,False
PRV20354,"Fisher, Wilson and Brown Medical Group",Anesthesiology,Physician Group,OH,False
PRV20355,Strickland-Palmer Medical Group,Orthopedic Surgery,Individual Practitioner,PA,False
PRV20356,Hayes and Sons Clinic,Nephrology,Hospital,NY,False
PRV20357,"Williams, Logan and Camacho Medical Group",Family Practice,Outpatient Facility,FL,False
PRV20358,"Turner, Schneider and Johnson Clinic",Emergency Medicine,Physician Group,NY,False
PRV20359,Boone-Simmons Clinic,Orthopedic Surgery,Individual Practitioner,PA,False
PRV20360,Henry Group Clinic,Anesthesiology,Hospital,NY,False
PRV20361,Lam LLC Medical Group,Oncology,Hospital,TX,False
PRV20362,"Hernandez, Martinez and Weber Clinic",Emergency Medicine,Individual Practitioner,TX,False
PRV20363,"Kelley, Nguyen and Vang Medical Group",Oncology,Hospital,CA,False
PRV20364,"Phillips, Wagner and Jordan Medical Group",Cardiology,Individual Practitioner,MA,False
PRV20365,"Wilson, Pena and Rich Clinic",Nephrology,Individual Practitioner,PA,False
PRV20366,"Le, Lewis and Hayes Medical Group",Emergency Medicine,Outpatient Facility,PA,False
PRV20367,Gutierrez Group Clinic,Cardiology,Physician Group,MA,False
PRV20368,Perry-Davis Medical Group,Emergency Medicine,Physician Group,FL,False
PRV20369,Edwards-Scott Medical Group,Nephrology,Physician Group,PA,False
PRV20370,Mcdaniel Group Clinic,Nephrology,Outpatient Facility,NY,False
PRV20371,Davis Inc Clinic,Emergency Medicine,Physician Group,IL,False
PRV20372,Reynolds Ltd Medical Group,Oncology,Outpatient Facility,CA,False
PRV20373,"Watson, Anderson and Brown Clinic",General Surgery,Outpatient Facility,CA,False
PRV20374,"Hoffman, Santiago and Jenkins Clinic",Anesthesiology,Outpatient Facility,OH,False
PRV20375,"Pugh, Henderson and Moon Clinic",Anesthesiology,Hospital,IL,False
PRV20376,Schmitt PLC Clinic,Cardiology,Physician Group,TX,False
PRV20377,Bell-Lane Medical Group,Nephrology,Individual Practitioner,PA,False
PRV20378,Moore Group Medical Group,Oncology,Physician Group,PA,False
PRV20379,Boone LLC Clinic,Radiology,Hospital,IL,False
PRV20380,"Richardson, Farmer and Andrews Medical Group",General Surgery,Hospital,FL,False
PRV20381,Bruce-Villegas Medical Group,Cardiology,Physician Group,MA,False
PRV20382,"Austin, Day and Johnson Medical Group",Family Practice,Outpatient Facility,TX,False
PRV20383,"Gallegos, Adams and White Clinic",Orthopedic Surgery,Individual Practitioner,PA,False
PRV20384,"Farmer, Dorsey and Bell Clinic",Neurology,Outpatient Facility,TX,False
PRV20385,Kane PLC Clinic,Cardiology,Outpatient Facility,MA,False
PRV20386,"Morales, Thomas and Schultz Medical Group",Oncology,Hospital,GA,False
PRV20387,Davis PLC Clinic,Anesthesiology,Physician Group,PA,False
PRV20388,Bennett Group Clinic,Emergency Medicine,Hospital,NY,False
PRV20389,Moore-Collins Clinic,General Surgery,Physician Group,CA,False
PRV20390,Frank-Bradley Medical Group,Family Practice,Individual Practitioner,NC,False
PRV20391,Ware and Sons Medical Group,Emergency Medicine,Hospital,NY,False
PRV20392,Webster Inc Clinic,Oncology,Physician Group,NY,False
PRV20393,"Miller, Ramos and Coleman Clinic",Oncology,Hospital,NC,False
PRV20394,"Ramos, Nelson and Fischer Medical Group",Internal Medicine,Hospital,FL,False
PRV20395,Reed Inc Clinic,Anesthesiology,Physician Group,IL,False
PRV20396,Gregory-Watkins Medical Group,Internal Medicine,Hospital,NY,False
PRV20397,"Estrada, Williams and Foster Clinic",Orthopedic Surgery,Outpatient Facility,TX,False
PRV20398,"Brown, Harris and Dougherty Clinic",Neurology,Hospital,MA,False
PRV20399,Duran LLC Clinic,Nephrology,Physician Group,NC,False
